District,shopId,user_name,shop_name,last_login_time,last_tp_ack_date,last_ob_date,last_sold_date
Agra,"11064","11064",( 11064) BILLOCHPURA,,,,
Gonda,"11069","11069",( 11069) PASKA,,,,
Gonda,"11071","11071",( 11071) BHAURIGANJ-(A),,,,
Agra,"11076","11076",( 11076) NOORI DARWAJA,,,,
Gonda,"11082","11082",( 11082) DHARAM NAGAR,,,,
Gonda,"11085","11085",( 11085) MANGURA BAZAR,,,,
Agra,"11090","11090",( 11090) AWADHPURI,,,,
Agra,"11104","11104",( 11104) MADIYA KATRA-(A),,,,
Gonda,"11106","11106",( 11106) MADHAIPUR KHANDEYRAI,,,,
Gonda,"11107","11107",( 11107) TYORASI,,,,
Gonda,"11113","11113",( 11113) MOHNA,,,,
Gonda,"11114","11114",( 11114) ALKHAPUR,,,,
Agra,"11120","11120",( 11120) PANCHKUYAN,,,,
Agra,"11126","11126",( 11126) SECTOR - 07,,,,
Gonda,"11127","11127",( 11127) AATA,,,,
Agra,"11132","11132",( 11132) BICHPURI,,,,
Agra,"11148","11148",( 11148) GADHI BHADAURIYA,,,,
Agra,"11153","11153",( 11153) RAJSHRI CINEMA,,,,
Agra,"11158","11158",( 11158) KISHOR PURA,,,,
Agra,"11163","11163",( 11163) MARUTI STATE,,,,
Agra,"11169","11169",( 11169) SIRKI MANDI,,,,
Agra,"11172","11172",( 11172) DEHTORA MOD,"2022-05-02 12:19:18.0",,,
Agra,"11182","11182",( 11182) MAGHTAI,,,,
Agra,"11184","11184",( 11184) NAGLA BERI,,,,
Agra,"11211","11211",( 11211) IDGAH,,,,
Agra,"11218","11218",( 11218) SULTANPURA-(A),,,,
Gonda,"11227","11227",( 11227) CHANGERI,,,,
Agra,"11228","11228",( 11228) SEWLA JAAT,,,,
Gonda,"11238","11238",( 11238) RUPIPURWA,,,,
Gonda,"11240","11240",( 11240) DEVIGANJ,,,,
Agra,"11246","11246",( 11246) TAJGANJ NO. 01-(A),"2022-05-02 16:31:43.0",,,
Agra,"11250","11250",( 11250) TAJGANJ NO. 02,,,,
Gonda,"11257","11257",( 11257) KANRUGRAM,,,,
Agra,"11261","11261",( 11261) BASAI,,,,
Agra,"11270","11270",( 11270) DEVRI ROAD,,,,
Agra,"11274","11274",( 11274) BUNDU KATRA ( BUNDU KATRA),,,,
Agra,"11279","11279",( 11279) INDRAPURAM,,,,
Agra,"11285","11285",( 11285) BARAULI AHIR,,,,
Agra,"11291","11291",( 11291) KALAL KHERIYA,,,,
Agra,"11294","11294",( 11294) NAGLA SABLA,,,,
Agra,"11308","11308",( 11308) GUTILA CHAURAHA,,,,
Agra,"11314","11314",( 11314) UKHARRA,,,,
Agra,"11325","11325",( 11325) SHYAMO,,,,
Agra,"11331","11331",( 11331) DIGNER,,,,
Agra,"11334","11334",( 11334) DEVRI GRAM,,,,
Agra,"11340","11340",( 11340) NAGLA VIDHICHAND,,,,
Agra,"11359","11359",( 11359) KEHRAI MOD SHAMSHABAD ROAD,,,,
Agra,"11362","11362",( 11362) RAJPUR CHUNGI-(A),,,,
Agra,"11369","11369",( 11369) ROHTA NEHER,,,,
Agra,"11373","11373",( 11373) LAKAWALI,,,,
Agra,"11380","11380",( 11380) GOPALPURA,,,,
Agra,"11386","11386",( 11386) SEMRI KA TAAL,,,,
Agra,"11390","11390",( 11390) NAGLA KALI,,,,
Agra,"11396","11396",( 11396) ROHTA BAAG,,,,
Agra,"11399","11399",( 11399) KARBANA,,,,
Agra,"11405","11405",( 11405) NAI CHUNGI SARASWATI VIHAR,,,,
Agra,"11408","11408",( 11408) HILTAN TIRAHA,,,,
Agra,"11413","11413",( 11413) SABJI MANDI FATEHABAD ROAD,,,,
Agra,"11417","11417",( 11417) MIYAPUR,,,,
Agra,"11421","11421",( 11421) KOLLAKHA KI PULIYA,,,,
Agra,"11426","11426",( 11426) LODHAI ADDA,,,,
Agra,"11431","11431",( 11431) BAGDA-(A),,,,
Agra,"11438","11438",( 11438) BUDHANA CHAURAHA,,,,
Ayodhya,"11698","11698",( 11698) GOSAIGANJ,,,,
Ayodhya,"11699","11699",( 11699) GOSAIGANJ ROADWAYS,,,,
Ayodhya,"11700","11700",( 11700) BADARSHA,,,,
Ayodhya,"11701","11701",( 11701) SAHJAHPUR,,,,
Ayodhya,"11702","11702",( 11702) MOHABRABAZAR,,,,
Ayodhya,"11703","11703",( 11703) BANBEERPUR,,,,
Ayodhya,"11704","11704",( 11704) MAYABAZAR,,,,
Ayodhya,"11705","11705",( 11705) CHANDPUR BIKAPUR,,,,
Ayodhya,"11706","11706",( 11706) RAUNAHI,,,,
Barabanki,"11707","11707",( 11707) KURAULI,,,,
Barabanki,"11708","11708",( 11708) BADEL CHAURAHA,,,,
Barabanki,"11709","11709",( 11709) JAHANGIRABAD DEVA ROAD TIRAHA,,,,
Barabanki,"11710","11710",( 11710) NAKA SATRIKH,,,,
Barabanki,"11711","11711",( 11711) UDHAULI,,,,
Barabanki,"11712","11712",( 11712) BARETHI,,,,
Barabanki,"11713","11713",( 11713) HARAKH CHAURAHA,,,,
Barabanki,"11714","11714",( 11714) DADRA,,,,
Barabanki,"11716","11716",( 11716) GRAM SABHA ASAINI,,,,
Ayodhya,"11717","11717",( 11717) DARSHANNAGAR,,,,
Barabanki,"11718","11718",( 11718) BHANAULI,,,,
Barabanki,"11720","11720",( 11720) CHANDWARA,,,,
Barabanki,"11723","11723",( 11723) BUDWARA JAKARIA,,,,
Barabanki,"11724","11724",( 11724) CHOTIPURWA MAJRE ISMAILPUR,,,,
Ayodhya,"11726","11726",( 11726) MASODHA,,,,
Barabanki,"11730","11730",( 11730) JAATA BARAULI,,,,
Ayodhya,"11732","11732",( 11732) PURABAZAR,,,,
Barabanki,"11733","11733",( 11733) AKHTIYARPUR,,,,
Barabanki,"11736","11736",( 11736) BANKI,,,,
Ayodhya,"11739","11739",( 11739) KUMARGANJ,,,,
Barabanki,"11742","11742",( 11742) SETHMAU BABURIHA,,,,
Barabanki,"11745","11745",( 11745) PALHRI CHAURAHA,,,,
Ayodhya,"11748","11748",( 11748) CHAURAYBAZAR,,,,
Ayodhya,"11758","11758",( 11758) HARANTEENGANJ,,,,
Barabanki,"11761","11761",( 11761) MASUDPUR,,,,
Ayodhya,"11762","11762",( 11762) INYATNAGAR,,,,
Barabanki,"11764","11764",( 11764) AVAS VIKAS COLONY,,,,
Barabanki,"11766","11766",( 11766) DARHARA,,,,
Ayodhya,"11767","11767",( 11767) KUCHERA BAZAR,,,,
Barabanki,"11769","11769",( 11769) GANAURA,,,,
Barabanki,"11773","11773",( 11773) UDVATPUR,,,,
Ayodhya,"11774","11774",( 11774) RAMPURBHAGAN,,,,
Barabanki,"11777","11777",( 11777) DAMODARPUR,,,,
Barabanki,"11779","11779",( 11779) BABURI GAON,,,,
Barabanki,"11780","11780",( 11780) HAAJI KAAJIPUR,,,,
Ayodhya,"11783","11783",( 11783) BHAILSAR,,,,
Barabanki,"11785","11785",( 11785) SALARPUR,,,,
Ayodhya,"11791","11791",( 11791) SUJAGANJ,,,,
Barabanki,"11792","11792",( 11792) MIHI BHITAULI,,,,
Barabanki,"11800","11800",( 11800) JASMANDA,,,,
Ayodhya,"11801","11801",( 11801) MAUWI CHAURHA,,,,
Barabanki,"11804","11804",( 11804) GHARAMPUR,,,,
Barabanki,"11809","11809",( 11809) GWAARI,,,,
Barabanki,"11814","11814",( 11814) BANGLA BAJAR,,,,
Barabanki,"11819","11819",( 11819) MASAULI NO-2 (GAON),,,,
Ayodhya,"11823","11823",( 11823) GOLABAZAR KHAJURAHAT,,,,
Barabanki,"11824","11824",( 11824) GRAM SABHA MOHNA,,,,
Barabanki,"11830","11830",( 11830) NAINAMAU,,,,
Ayodhya,"11834","11834",( 11834) PATRANGA,,,,
Barabanki,"11836","11836",( 11836) JASANVARA,,,,
Barabanki,"11843","11843",( 11843) MIRGISMAU,,,,
Barabanki,"11848","11848",( 11848) FARENDI CHAUKI,,,,
Barabanki,"11852","11852",( 11852) DAUDPUR,,,,
Barabanki,"11858","11858",( 11858) CHAK CHAURAHA,,,,
Barabanki,"11860","11860",( 11860) TEERGAON,,,,
Barabanki,"11865","11865",( 11865) BANVA,,,,
Barabanki,"11870","11870",( 11870) GRAM SABHA DARAM NAGAR,,,,
Barabanki,"11875","11875",( 11875) SANDAULI UMARPUR,,,,
Barabanki,"11880","11880",( 11880) CHAKHAAR GAON,,,,
Barabanki,"11883","11883",( 11883) GHARSANIYA,,,,
Barabanki,"11892","11892",( 11892) GRAM SABHA OBAREE,,,,
Barabanki,"11913","11913",( 11913) LACHVAR CHAURAHA,,,,
Barabanki,"11917","11917",( 11917) TAADPURWA,,,,
Barabanki,"11922","11922",( 11922) MALOOKPUR,,,,
Barabanki,"11926","11926",( 11926) MAANPUR,,,,
Ayodhya,"11932","11932",( 11932) DIYODHI HINDU SINGH,,,,
Barabanki,"11935","11935",( 11935) BALCHAT CHAURAHA,,,,
Barabanki,"11942","11942",( 11942) BHAYARA,,,,
Barabanki,"11948","11948",( 11948) GRAM SABHA BHAANMAU,,,,
Barabanki,"11958","11958",( 11958) SAIDHA,,,,
Barabanki,"11967","11967",( 11967) SADARPUR PULIYA,,,,
Barabanki,"11981","11981",( 11981) AHMADPUR CHAURAHA,,,,
Barabanki,"11989","11989",( 11989) AHMADPUR GAON,,,,
Ayodhya,"11996","11996",( 11996) BADAGANW,,,,
Barabanki,"11999","11999",( 11999) DARIYABAAD NO-1 (KASBE KE BAHAR DARIYABAD TOWN),,,,
Barabanki,"12005","12005",( 12005) JITHAUTI,,,,
Barabanki,"12012","12012",( 12012) GRAM SABHA SUHELPUR NO-1,,,,
Barabanki,"12021","12021",( 12021) BHITARIYA NO.-1 (KASBE KE ANDAR),,,,
Barabanki,"12028","12028",( 12028) SUMERGANJ (BARABANKI-FAIZABAD MAARG PAR KASBE KE MADHYA),,,,
Barabanki,"12033","12033",( 12033) MAU BAJAAR,,,,
Barabanki,"12040","12040",( 12040) BAHRELA NAHAR,,,,
Barabanki,"12056","12056",( 12056) MOHAMMADPUR CHAURAHA,,,,
Barabanki,"12068","12068",( 12068) DARIYABAAD NO-2 (KASBE KE ANDAR),,,,
Barabanki,"12082","12082",( 12082) BAARINBAAG,,,,
Barabanki,"12094","12094",( 12094) BHITARIYA NO-2 (BARABANKI FAIZABAD ROAD PAR BLOCK BHAWAN TATHA AKANKSHA NURSING HOME KE BEECH),,,,
Barabanki,"12107","12107",( 12107) GRAM SABHA SUHELPUR NO-2,,,,
Barabanki,"12118","12118",( 12118) GRAM SABHA KAASHIPUR,,,,
Barabanki,"12132","12132",( 12132) NIYAMATGANJ,,,,
Barabanki,"12147","12147",( 12147) ALIYABAAD CHAURAHA,,,,
Barabanki,"12160","12160",( 12160) BARAEE,,,,
Barabanki,"12168","12168",( 12168) BHAANPUR CHAURAHA,,,,
Barabanki,"12179","12179",( 12179) BELHA NAHAR CHAURAHA,,,,
Barabanki,"12191","12191",( 12191) THORTHIYA,,,,
Barabanki,"12199","12199",( 12199) MATHURA NAGAR,,,,
Barabanki,"12210","12210",( 12210) LALPUR GUMAAN,,,,
Barabanki,"12217","12217",( 12217) KUSHBHAR,,,,
Barabanki,"12233","12233",( 12233) MAALINPUR CHAURAHA,,,,
Barabanki,"12242","12242",( 12242) SUNAULI,,,,
Barabanki,"12255","12255",( 12255) PATKANPURWA,,,,
Barabanki,"12262","12262",( 12262) DEVIGANJ,,,,
Barabanki,"12267","12267",( 12267) IMLIHA,,,,
Barabanki,"12285","12285",( 12285) NYOCHANA,,,,
Barabanki,"12294","12294",( 12294) NAWABPUR PULIYA,,,,
Barabanki,"12313","12313",( 12313) HAIDARGARH NO-1 (HAIDARGARH SE BHITARIYA MAARG PAR BUS STATION KE AAGE),,,,
Barabanki,"12320","12320",( 12320) HAIDARGARH NO-2 (SULTANPUR ROAD PAR SUBEHA MOD KE PASS),,,,
Barabanki,"12344","12344",( 12344) HAIDARGARH NO-3 (HAIDARGARH LUCKNOW MAARG PAR HOTEL NEELKAMAL KE PASS),,,,
Barabanki,"12353","12353",( 12353) HAIDARGARH NO-4 (HAIDARGARH RAEBAREILLY MAARG PAR TALAAB AUR NAHAR PULIYA KE BEECH),,,,
Barabanki,"12373","12373",( 12373) GRAM SABHA MAKANPUR,,,,
Barabanki,"12386","12386",( 12386) KAISERGANJ CHAURAHA,,,,
Barabanki,"12399","12399",( 12399) SUBEHA,,,,
Barabanki,"12416","12416",( 12416) SIDDHAUR,,,,
Barabanki,"12428","12428",( 12428) TRIVEDIGANJ NO-1 (KASBE KE MADHYA),,,,
Barabanki,"12444","12444",( 12444) ASANDRA,,,,
Barabanki,"12459","12459",( 12459) GRAM SABHA MIYAN KA PURWA,,,,
Barabanki,"12465","12465",( 12465) HUSAINABAAD,,,,
Ayodhya,"12469","12469",( 12469) MHABOOBGANJ,,,,
Pryagraj,"12471","12471",( 12471) JHALWA,,,,
Barabanki,"12479","12479",( 12479) SAIDANPUR,,,,
Barabanki,"12490","12490",( 12490) DATAULI,,,,
Pryagraj,"12500","12500",( 12500) ATARSUIYA-(A),"2022-05-02 14:28:15.0","2022-05-02 14:32:56.0",,"2022-05-02 14:33:56.0"
Barabanki,"12504","12504",( 12504) BEEBIPUR,,,,
Pryagraj,"12516","12516",( 12516) STATION ROAD NO. 3-(A),"2022-05-02 11:16:05.0","2022-05-02 11:11:02.0",,"2022-05-02 11:11:25.0"
Ayodhya,"12524","12524",( 12524) HAIDARGANJ,,,,
Barabanki,"12534","12534",( 12534) GRAM SABHA POORECHANDRA MAANPUR,,,,
Barabanki,"12548","12548",( 12548) GRAM SABHA CHAUBEESI,,,,
Barabanki,"12558","12558",( 12558) TRIVEDIGANJ NO-2 (GAON ME),,,,
Ayodhya,"12568","12568",( 12568) RANI BAZAR,,,,
Barabanki,"12569","12569",( 12569) GOTAUNA,,,,
Barabanki,"12587","12587",( 12587) SHIVNAAM,,,,
Barabanki,"12600","12600",( 12600) KAMELA,,,,
Ayodhya,"12628","12628",( 12628) AMANIGANJ,,,,
Pryagraj,"12641","12641",( 12641) ALLAPUR,,,,
Ayodhya,"12657","12657",( 12657) TARUN,,,,
Pryagraj,"12665","12665",( 12665) GEORGE TOWN-TAGOUR TOWN,,,,
Pryagraj,"12681","12681",( 12681) SOHBATIYABAGH,,,,
Ayodhya,"12688","12688",( 12688) AMSIN,,,,
Barabanki,"12694","12694",( 12694) LAAHI COLONY,,,,
Barabanki,"12703","12703",( 12703) UDAYNAGAR,,,,
Pryagraj,"12729","12729",( 12729) LOWTHER ROAD(MEDICAL CHAURAHA SE R N BANNERJEE TIRAHA KE BEECH),,,,
Barabanki,"12737","12737",( 12737) BHILWAL NO-2 (GAON ME),,,,
Barabanki,"12747","12747",( 12747) KAANHIPUR,,,,
Pryagraj,"12750","12750",( 12750) ALOPIBAGH,,,,
Pryagraj,"12796","12796",( 12796) MUMFORDGANJ,,,,
Barabanki,"12801","12801",( 12801) SEMRAWA,,,,
Barabanki,"12827","12827",( 12827) LAAKHUPUR,,,,
Barabanki,"12835","12835",( 12835) RASULPUR CHAURAHA,,,,
Barabanki,"12843","12843",( 12843) SUSWAEE,,,,
Barabanki,"12850","12850",( 12850) KOTHI,,,,
Ayodhya,"12856","12856",( 12856) PACHIYANA,,,,
Barabanki,"12860","12860",( 12860) CHABEELE BHATTHA,,,,
Barabanki,"12867","12867",( 12867) PAREEWA,,,,
Barabanki,"12876","12876",( 12876) TEJWAPUR,,,,
Ayodhya,"12878","12878",( 12878) SHAHGANJ,,,,
Barabanki,"12883","12883",( 12883) NAIPURA,,,,
Barabanki,"12890","12890",( 12890) BADHWAL CHAURAHA,,,,
Barabanki,"12895","12895",( 12895) MANJHAAR,,,,
Barabanki,"12905","12905",( 12905) GRAM SABHA BADHNAPUR,,,,
Barabanki,"12910","12910",( 12910) NERA KABOOLPUR,,,,
Barabanki,"12918","12918",( 12918) JAURAAS,,,,
Barabanki,"12929","12929",( 12929) DAHILA DERY,,,,
Ayodhya,"12932","12932",( 12932) BABA BAZAR,,,,
Barabanki,"12944","12944",( 12944) MOHAMMAD VISHUNPUR CHAUKI,,,,
Barabanki,"12949","12949",( 12949) SADDIPUR,,,,
Barabanki,"12961","12961",( 12961) BADAGAON (MAHMOODABAD LUCKNOW ROAD),,,,
Barabanki,"12975","12975",( 12975) FATEHPUR PRATHAM (KASBE KE MADHYA),,,,
Barabanki,"12979","12979",( 12979) BHAGAULI,,,,
Barabanki,"12993","12993",( 12993) MOHAMMADPUR KHAALA,,,,
Barabanki,"12998","12998",( 12998) BELAHRA,,,,
Barabanki,"13005","13005",( 13005) ANWAARI,,,,
Barabanki,"13012","13012",( 13012) TIKAITGANJ,,,,
Barabanki,"13019","13019",( 13019) BABAGANJ,,,,
Barabanki,"13034","13034",( 13034) SAATHEMAU BAJAR,,,,
Barabanki,"13048","13048",( 13048) FATEHPUR NO-2 (BUS STATION KE PASS),,,,
Barabanki,"13058","13058",( 13058) REEWA-SEEVA,,,,
Ayodhya,"13067","13067",( 13067) CIVIL LINE NO. 1,,,,
Barabanki,"13071","13071",( 13071) BIHURA CHAURAHA,,,,
Barabanki,"13079","13079",( 13079) ISRAULI,,,,
Barabanki,"13089","13089",( 13089) GAURA KARAUNDI,,,,
Barabanki,"13099","13099",( 13099) JHANJHRA CHAURAHA,,,,
Barabanki,"13118","13118",( 13118) SIHAALI,,,,
Ayodhya,"13126","13126",( 13126) CIVIL LINE NO. 2,,,,
Barabanki,"13128","13128",( 13128) HAIDARGANJ CHAURAHA,,,,
Barabanki,"13135","13135",( 13135) JAMUA,,,,
Barabanki,"13143","13143",( 13143) JAMURIYA,,,,
Barabanki,"13152","13152",( 13152) BAJGAHNI,,,,
Ayodhya,"13162","13162",( 13162) RIKABGANJ,,,,
Pryagraj,"13167","13167",( 13167) COLONELGANJ,,,,
Barabanki,"13170","13170",( 13170) DAFARPUR CHAURAHA,,,,
Ayodhya,"13176","13176",( 13176) ANGURIBAG,,,,
Barabanki,"13177","13177",( 13177) KHIJNA,,,,
Barabanki,"13184","13184",( 13184) KURSI,,,,
Barabanki,"13193","13193",( 13193) BAINA,,,,
Barabanki,"13203","13203",( 13203) DAULATPUR CHAURAHA,,,,
Barabanki,"13213","13213",( 13213) POKHANEE,,,,
Pryagraj,"13221","13221",( 13221) TELIYARGANJ,,,,
Barabanki,"13228","13228",( 13228) FATEHPUR NO-4 (RAJA BAAZAR RAMNAGAR ROAD),,,,
Barabanki,"13235","13235",( 13235) PEEDSAAWA,,,,
Pryagraj,"13236","13236",( 13236) GOVINDPUR,,,,
Barabanki,"13244","13244",( 13244) CHEDA,,,,
Barabanki,"13251","13251",( 13251) KASIYAPUR,,,,
Ayodhya,"13256","13256",( 13256) CHAUK,,,,
Barabanki,"13257","13257",( 13257) NINDOORA CHAURAHA,,,,
Barabanki,"13272","13272",( 13272) SINGHA MOD,,,,
Barabanki,"13279","13279",( 13279) FATEHPUR NO-3 (PATEL NAGAR),,,,
Ayodhya,"13281","13281",( 13281) NAKA,,,,
Pryagraj,"13286","13286",( 13286) DARAGANJ,,,,
Barabanki,"13294","13294",( 13294) RAMPUR,,,,
Ayodhya,"13298","13298",( 13298) FATEHGANJ,,,,
Barabanki,"13305","13305",( 13305) SAHADATGANJ,,,,
Barabanki,"13309","13309",( 13309) AURELA,,,,
Ayodhya,"13316","13316",( 13316) MODHA,,,,
Barabanki,"13321","13321",( 13321) MOHAMDABAAD,,,,
Barabanki,"13330","13330",( 13330) PIPARIYA CHAURAHA,,,,
Barabanki,"13341","13341",( 13341) TIKAITNAGAR NO-1 (DARIYABAD TIKAITNAGAR ROAD PAR KASBE KE KINAARE),,,,
