code,facility_uuid,district_name,Directorate_name,facility_name,facility_type_name,Total User Count,User Login Count,Registration Count,Lab Order Count,Admission Count,Total Department Count,Total Active Department Count,Total Doctor Count,Login Doctor Count,Total Nurse Count,Login Nurse Count
DHQ027,51,Tiruvannamalai,Directorate of Medical and Rural Health Services(DMS),Cheyyar-DHQ,DHQ,130,122,91626,53641,2124,79,19,30,12,80,3
DHQ028,52,Thoothukudi,Directorate of Medical and Rural Health Services(DMS),Kovilpatti-DHQ,DHQ,249,241,73959,52241,7156,80,14,50,7,138,7
DHQ029,53,Vellore,Directorate of Medical and Rural Health Services(DMS),Walajapet-DHQ,DHQ,122,114,8342,11003,26,79,2,24,3,65,1
DHQ030,54,Villupuram,Directorate of Medical and Rural Health Services(DMS),Kallakurichi-DHQ,DHQ,16,7,258,9,225,79,1,3,1,1,1
DHQ031,55,Virudhunagar,Directorate of Medical and Rural Health Services(DMS),Virudhunagar-DHQ,DHQ,16,8,368,18,301,79,3,3,3,1,2
SDH001,56,Ariyalur,Directorate of Medical and Rural Health Services(DMS),Jayamkondan-SDH,SDH,92,87,60,61,0,30,3,20,8,37,0
SDH002,57,Ariyalur,Directorate of Medical and Rural Health Services(DMS),Udayarpalayam-SDH,SDH,38,31,581,1903,0,30,3,11,10,7,0
SDH003,58,Ariyalur,Directorate of Medical and Rural Health Services(DMS),Sendurai-SDH,SDH,32,25,7134,980,0,30,4,7,7,10,0
SDH004,59,Chennai,Directorate of Medical and Rural Health Services(DMS),Thiruvotryiyur-SDH,SDH,14,4,2004,4163,0,30,3,3,3,1,0
SDH005,60,Chennai,Directorate of Medical and Rural Health Services(DMS),Saidapet-SDH,SDH,14,6,1,1,0,30,1,3,1,1,0
SDH006,61,Chennai,Directorate of Medical and Rural Health Services(DMS),Injambakkam-SDH,SDH,14,4,3857,6131,0,30,6,3,3,1,0
SDH007,62,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Kottur-SDH,SDH,29,21,5602,19979,0,30,5,8,4,8,0
SDH008,63,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Valparai-SDH,SDH,49,41,6106,12218,0,30,5,16,10,16,0
SDH009,64,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Vettaikaranputhur-SDH,SDH,27,20,4725,9037,0,30,5,7,7,7,0
SDH010,65,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Annur-SDH,SDH,40,35,16070,13491,54,30,7,11,12,9,0
SDH011,66,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Mettupalayam-SDH,SDH,67,59,33786,54378,1230,30,11,19,20,29,2
SDH012,67,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Kinathukadavu-SDH,SDH,14,6,2697,3356,0,30,7,3,3,1,0
SDH013,68,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Madukkarai-SDH,SDH,14,5,4021,5079,235,30,5,3,3,1,1
SDH014,69,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Sundakamuthur-SDH,SDH,14,6,6327,13359,0,30,4,3,2,1,0
SDH015,70,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Periyanickenpalayam-SDH,SDH,38,29,15750,9969,231,30,13,9,6,12,2
SDH016,71,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Kolarpatty-SDH,SDH,14,4,5153,13685,0,30,4,3,2,1,0
SDH017,72,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Sulur-SDH,SDH,40,31,17010,16164,254,31,8,10,9,9,0
SDH018,73,Coimbatore,Directorate of Medical and Rural Health Services(DMS),Thondamuthur-SDH,SDH,41,33,10896,13314,203,30,6,9,5,13,1
SDH019,74,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Bhuvanagiri-SDH,SDH,15,7,733,30,0,30,3,3,1,1,0
SDH020,75,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Kattumannarkoil-SDH,SDH,42,32,12,7,0,30,2,14,1,11,0
SDH021,76,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Chidambaram-SDH,SDH,102,93,32045,278,147,30,7,27,1,37,1
SDH022,77,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Kurinchipadi-SDH,SDH,60,51,10,0,0,30,2,15,0,19,0
SDH023,78,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Thittakudi-SDH,SDH,69,58,224,0,0,30,1,22,0,22,0
SDH024,79,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Veppur-SDH,SDH,14,5,65,0,0,30,3,3,0,1,0
SDH025,80,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Panrutti-SDH,SDH,68,58,34568,274,54,30,5,17,1,24,1
SDH026,81,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Portnova-SDH,SDH,45,34,266,5,0,30,3,9,1,12,0
SDH027,82,Cuddalore,Directorate of Medical and Rural Health Services(DMS),Virudhachalam-SDH,SDH,135,125,4084,98,1,30,8,31,3,70,0
SDH028,83,Dharmapuri,Directorate of Medical and Rural Health Services(DMS),Harur-SDH,SDH,95,89,50538,25610,3382,32,12,21,24,48,1
SDH029,84,Dharmapuri,Directorate of Medical and Rural Health Services(DMS),Palacode-SDH,SDH,51,43,41438,11968,1632,31,15,16,17,14,1
SDH030,85,Dharmapuri,Directorate of Medical and Rural Health Services(DMS),Pappireddipatti-SDH,SDH,44,36,32025,20551,840,30,7,10,11,11,2
SDH031,86,Dindigul,Directorate of Medical and Rural Health Services(DMS),Attur-SDH,SDH,32,22,815,351,70,30,8,8,4,6,1
SDH032,87,Dindigul,Directorate of Medical and Rural Health Services(DMS),Batalagundu-SDH,SDH,40,35,153,229,1,30,4,8,3,10,1
SDH033,88,Dindigul,Directorate of Medical and Rural Health Services(DMS),Pattiveeranpatti-SDH,SDH,33,22,221,341,0,30,2,7,3,9,0
SDH034,89,Dindigul,Directorate of Medical and Rural Health Services(DMS),Kodaikanal-SDH,SDH,71,61,140,247,0,30,2,13,5,41,0
SDH035,90,Dindigul,Directorate of Medical and Rural Health Services(DMS),Pannaikadu-SDH,SDH,41,30,147,215,0,30,2,9,2,14,0
SDH036,91,Dindigul,Directorate of Medical and Rural Health Services(DMS),Thandikudi-SDH,SDH,26,16,89,121,0,30,2,5,2,6,0
SDH037,92,Dindigul,Directorate of Medical and Rural Health Services(DMS),Natham-SDH,SDH,50,39,358,464,0,30,3,15,9,16,0
SDH038,93,Dindigul,Directorate of Medical and Rural Health Services(DMS),Nilakottai-SDH,SDH,65,54,227,400,0,30,2,14,9,25,0
SDH039,94,Dindigul,Directorate of Medical and Rural Health Services(DMS),Oddanchatram-SDH,SDH,37,27,397,418,0,30,3,9,3,9,0
SDH040,95,Dindigul,Directorate of Medical and Rural Health Services(DMS),Ayakudi-SDH,SDH,32,21,266,301,0,30,3,6,3,10,0
SDH041,96,Dindigul,Directorate of Medical and Rural Health Services(DMS),Palani-SDH,SDH,111,105,235,158,125,30,3,31,12,52,1
SDH042,97,Dindigul,Directorate of Medical and Rural Health Services(DMS),Vedasendur-SDH,SDH,40,30,608,1518,0,30,3,10,9,12,0
SDH043,98,Erode,Directorate of Medical and Rural Health Services(DMS),Anthiyur-SDH,SDH,42,32,1935,70,1,30,3,10,3,16,0
SDH044,99,Erode,Directorate of Medical and Rural Health Services(DMS),Bhavani-SDH,SDH,42,32,13460,316,1,30,6,3,4,7,0
SDH045,100,Erode,Directorate of Medical and Rural Health Services(DMS),Kavanthapadi-SDH,SDH,28,17,0,0,0,30,0,8,0,7,0
SDH046,101,Erode,Directorate of Medical and Rural Health Services(DMS),Gobichettypalayam-SDH,SDH,107,98,0,0,0,30,0,30,0,51,0
SDH047,102,Erode,Directorate of Medical and Rural Health Services(DMS),Kodumudi-SDH,SDH,30,19,377,292,74,30,2,10,8,7,0
SDH048,103,Erode,Directorate of Medical and Rural Health Services(DMS),Perundurai-SDH,SDH,38,27,7020,1075,157,30,5,9,7,11,0
SDH049,104,Erode,Directorate of Medical and Rural Health Services(DMS),Sathiyamangalam-SDH,SDH,40,29,4,3,0,30,1,16,2,14,0
SDH050,105,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Tambaram SDH,SDH,95,87,24649,264,1129,33,12,32,12,38,3
SDH051,106,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Cheyyur-SDH,SDH,35,24,114,143,0,30,1,8,1,12,0
SDH052,107,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Madhuranthagam-SDH,SDH,19,8,0,0,0,30,0,5,0,1,0
SDH053,108,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Sriperumpudur-SDH,SDH,47,36,207,348,0,30,3,11,3,11,0
SDH054,109,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Mahabalipuram-SDH,SDH,14,3,0,0,0,30,0,3,0,1,0
SDH055,110,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Thirukalukundram-SDH,SDH,39,28,0,0,0,30,0,12,0,7,0
SDH056,111,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Tiruporur-SDH,SDH,14,5,0,0,0,30,0,3,0,1,0
SDH057,112,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Uthiramerur-SDH,SDH,38,27,0,0,0,30,0,13,0,9,0
SDH058,113,Kancheepuram,Directorate of Medical and Rural Health Services(DMS),Walajabad-SDH,SDH,14,3,0,0,0,30,0,3,0,1,0
SDH059,114,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Kanyakumari-SDH,SDH,33,22,22888,7298,0,30,14,10,9,10,0
SDH060,115,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Colachal-SDH,SDH,37,28,9178,2257,114,30,10,8,3,10,1
SDH061,116,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Karungal-SDH,SDH,27,17,1648,3652,0,30,4,7,4,4,0
SDH062,117,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Senanvilai-SDH,SDH,26,15,4425,1318,0,30,5,6,4,4,0
SDH063,118,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Arumanai-SDH,SDH,25,15,4928,7958,0,30,4,5,3,4,0
SDH064,119,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Kuzhithurai-SDH,SDH,65,56,27917,11277,1,33,18,28,24,20,1
SDH065,120,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Kulaseram-SDH,SDH,29,18,5350,2533,0,30,5,7,7,7,0
SDH066,121,Kanyakumari,Directorate of Medical and Rural Health Services(DMS),Boothapandi-SDH,SDH,44,33,3738,8706,0,30,6,14,7,13,0
SDH067,122,Karur,Directorate of Medical and Rural Health Services(DMS),Aravakurtchi-SDH,SDH,32,22,5576,5313,15,30,8,7,5,7,0
SDH068,123,Karur,Directorate of Medical and Rural Health Services(DMS),Pallapatti-SDH,SDH,43,32,13841,6775,1,30,4,8,8,14,0
SDH069,124,Karur,Directorate of Medical and Rural Health Services(DMS),Kadavur-SDH,SDH,14,3,5922,15762,0,30,8,3,3,1,0
SDH070,125,Karur,Directorate of Medical and Rural Health Services(DMS),Manmangalam-SDH,SDH,14,3,2716,4855,0,30,5,3,3,1,0
SDH071,126,Karur,Directorate of Medical and Rural Health Services(DMS),Velauthapalayam-SDH,SDH,44,34,12831,5782,81,30,6,13,10,11,3
SDH072,127,Karur,Directorate of Medical and Rural Health Services(DMS),Krishnarayapuram-SDH,SDH,27,16,8555,2940,3,30,5,7,8,5,0
SDH073,128,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Bargur-SDH,SDH,39,31,13647,28872,0,32,4,12,6,7,0
SDH074,129,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Pochampalli-SDH,SDH,33,24,44834,40283,4315,30,9,8,11,9,7
SDH075,130,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Hosur-SDH,SDH,100,89,163907,13058,5715,32,10,33,21,26,6
SDH076,131,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Thenkanikottai-SDH,SDH,55,45,49470,13853,4540,32,13,18,17,13,6
SDH077,132,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Mathur-SDH,SDH,31,21,28288,17877,881,30,17,7,8,7,2
SDH078,133,Krishnagiri,Directorate of Medical and Rural Health Services(DMS),Uthangarai-SDH,SDH,45,37,69853,108039,3859,34,8,14,18,8,12
SDH079,134,Madurai,Directorate of Medical and Rural Health Services(DMS),Thiruparankundram-SDH,SDH,45,34,4307,5296,0,31,4,11,11,10,0
SDH080,135,Madurai,Directorate of Medical and Rural Health Services(DMS),Melur-SDH,SDH,83,72,31778,11370,436,31,9,3,4,34,1
SDH081,136,Madurai,Directorate of Medical and Rural Health Services(DMS),Peraiyur-SDH,SDH,33,22,15592,10279,94,31,8,3,7,9,0
SDH082,137,Madurai,Directorate of Medical and Rural Health Services(DMS),Sholavandan-SDH,SDH,31,20,16259,3629,380,31,9,10,3,7,0
SDH083,138,Madurai,Directorate of Medical and Rural Health Services(DMS),Vadipatti-SDH,SDH,51,41,26340,7270,30,31,4,15,11,16,0
SDH084,139,Madurai,Directorate of Medical and Rural Health Services(DMS),Tirumangalam-SDH,SDH,111,100,30247,17849,138,33,5,20,3,59,0
SDH085,140,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Thirukuvalai-SDH,SDH,35,25,4371,997,1,30,4,16,3,1,0
SDH086,141,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Kilvelur-SDH,SDH,28,18,14146,6498,242,30,30,13,5,1,1
SDH087,142,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Kuthalam-SDH,SDH,41,33,10852,2084,1374,30,7,25,6,1,0
SDH088,143,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Mayiladuthurai-SDH,SDH,195,29,250443,14817,1112,37,50,42,16,122,3
SDH089,144,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Nagoor-SDH,SDH,29,19,343,455,0,30,5,6,4,9,0
SDH090,145,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Porayaru-SDH,SDH,43,33,64,134,0,30,3,3,2,12,0
SDH091,146,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Tharangambadi-SDH,SDH,30,20,295,670,0,30,4,4,1,9,0
SDH092,147,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Sirkazhi-SDH,SDH,116,108,54038,7028,267,30,27,57,5,1,3
SDH093,148,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Vaitheeswarankovil-SDH,SDH,28,18,9409,1183,287,30,5,6,4,7,0
SDH094,149,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Karuppambalam-SDH,SDH,25,14,13658,1054,266,30,5,11,4,1,0
SDH095,150,Nagapattinam,Directorate of Medical and Rural Health Services(DMS),Vedaranyam-SDH,SDH,78,68,30977,228,4,30,7,12,4,31,1
SDH096,151,Namakkal,Directorate of Medical and Rural Health Services(DMS),Kolli Hills-SDH,SDH,16,5,118,164,0,30,2,4,4,1,0
SDH097,152,Namakkal,Directorate of Medical and Rural Health Services(DMS),Komarapalayam-SDH,SDH,65,56,17825,4894,211,33,11,3,12,25,3
SDH098,153,Namakkal,Directorate of Medical and Rural Health Services(DMS),Pallipalayam-SDH,SDH,31,20,3985,4692,0,30,5,3,2,8,0
SDH099,154,Namakkal,Directorate of Medical and Rural Health Services(DMS),Velur-SDH,SDH,43,33,24658,7167,1,31,9,13,11,12,1
SDH100,155,Namakkal,Directorate of Medical and Rural Health Services(DMS),Rasipuram-SDH,SDH,89,81,39249,1946,462,30,8,4,8,44,1
SDH101,156,Namakkal,Directorate of Medical and Rural Health Services(DMS),Sendamangalam-SDH,SDH,50,39,7135,6021,76,30,8,4,6,17,1
SDH102,157,Namakkal,Directorate of Medical and Rural Health Services(DMS),Tiruchengode-SDH,SDH,111,101,27862,2494,2217,32,11,3,22,57,3
SDH103,158,Namakkal,Directorate of Medical and Rural Health Services(DMS),Vennandur-SDH,SDH,27,16,2706,4048,0,30,5,3,6,6,0
SDH104,159,TheNilgiris,Directorate of Medical and Rural Health Services(DMS),Coonoor-SDH,SDH,92,83,26682,17358,333,30,9,53,7,2,2
SDH105,160,TheNilgiris,Directorate of Medical and Rural Health Services(DMS),Gudalur-SDH,SDH,57,51,5942,9062,448,30,7,10,2,20,2
SDH106,161,TheNilgiris,Directorate of Medical and Rural Health Services(DMS),Pandalur-SDH,SDH,28,19,934,2517,0,30,3,5,2,5,0
SDH107,162,TheNilgiris,Directorate of Medical and Rural Health Services(DMS),Kothagiri-SDH,SDH,59,49,6664,11826,17,30,6,17,4,17,1
SDH108,163,TheNilgiris,Directorate of Medical and Rural Health Services(DMS),Manjur-SDH,SDH,27,17,7123,13003,414,30,6,5,6,6,0
SDH109,164,Perambalur,Directorate of Medical and Rural Health Services(DMS),Karai-SDH,SDH,15,5,5497,17021,0,30,4,3,2,1,0
SDH110,165,Perambalur,Directorate of Medical and Rural Health Services(DMS),Krishnapuram-SDH,SDH,35,26,1485,3658,0,30,3,8,5,11,0
SDH111,166,Perambalur,Directorate of Medical and Rural Health Services(DMS),Veppur-SDH,SDH,36,28,6037,5746,0,30,6,7,4,10,0
SDH112,167,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Annavasal-SDH,SDH,30,22,15979,3803,1226,30,7,10,6,5,1
SDH113,168,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Illuppur-SDH,SDH,38,30,5836,6528,111,30,6,12,10,10,2
SDH114,169,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Subramaniyapuram-SDH,SDH,24,13,3421,6837,5,30,5,5,5,5,0
SDH115,170,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Avudaiyarkoil-SDH,SDH,32,21,1676,216,2,30,3,8,2,10,0
SDH116,171,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Gandarvakottai-SDH,SDH,35,24,26492,2265,18,30,5,8,9,12,2
SDH117,172,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Karambakkudi-SDH,SDH,14,3,585,1338,0,30,2,3,2,1,0
SDH118,173,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Keeranur-SDH,SDH,26,15,23671,6788,2,30,6,5,3,7,0
SDH119,174,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Manamelkudi-SDH,SDH,47,37,16698,3669,1142,30,6,10,2,16,0
SDH120,175,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Valayampatti-SDH,SDH,35,24,13700,2820,0,30,7,8,2,13,0
SDH121,176,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Thirumayam-SDH,SDH,50,40,25941,961,1194,30,10,10,7,15,3
SDH122,177,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Alangudi-SDH,SDH,49,38,28125,8218,78,30,8,11,9,19,2
SDH123,178,Pudukkottai,Directorate of Medical and Rural Health Services(DMS),Viralimalai-SDH,SDH,14,4,379,1000,0,30,6,3,3,1,0
SDH124,179,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Kadaladi-SDH,SDH,34,26,1587,5252,0,30,4,5,2,14,0
SDH125,180,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Kamuthi-SDH,SDH,54,44,4024,14786,2,30,5,11,6,24,0
SDH126,181,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Mandapam Camp-SDH,SDH,29,18,3025,4493,0,30,3,5,4,9,0
SDH127,182,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Pannaikulam-SDH,SDH,29,19,7645,10441,249,30,4,3,4,8,0
SDH128,183,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Rameswaram-SDH,SDH,61,51,19444,3124,384,30,10,11,6,24,0
SDH129,184,Ramanathapuram,Directorate of Medical and Rural Health Services(DMS),Mudukalathur-SDH,SDH,59,49,2025,3734,0,30,9,13,9,26,0
